web_scraper_order,web_scraper_start_url,detail_url,title,location,difficulty_level,duration,distance,physical_demand,ascent,descent,target_group,season,recommended_period
"1766396600-93","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1109/Aussicht-von-den-Sonnenhangen","Aussicht von den Sonnenhängen","Mägisalp
                                                                    — Hasliberg Reuti
                                                                                                    • BE","","4h 25min","13km","hoch","245m","890m","für Familien","Winter","Dezember - März"
"1766396602-94","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1101/Schneeschuhtour-im-Val-d-Anniviers","Schneeschuhtour im Val d‘Anniviers","St. Luc, Tignousa
                                                                    — St. Luc, Le Prilett
                                                                                                    • VS","","6h 45min","14.5km","hoch","830m","1310m","","Winter","Dezember - März"
"1766396605-95","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1167/Ein-Nachmittag-in-jurassischen-Laubwaldern","Ein Nachmittag in jurassischen Laubwäldern","Beurnevésin, poste
                                                                                                    • JU","","2h 20min","8.9km","tief","245m","245m","für Familien","ganzjährig","Januar - Dezember"
"1766396607-96","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1166/Walserspuren-im-Fondei","Walserspuren im Fondei","Langwies
                                                                                                    • GR","","5h 50min","13.2km","hoch","630m","630m","","Winter","Dezember - Februar"
"1766396609-97","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1177/Alpenpanorama-uber-dem-Nebelmeer","Alpenpanorama über dem Nebelmeer","Weissenstein
                                                                                                    • SO","","55min","4.6km","tief","110m","110m","für Familien","Winter","Dezember - Februar"
"1766396612-98","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1176/Stille-Wintertage-im-Averstal","Stille Wintertage im Averstal","Avers, Juppa
                                                                                                    • GR","","1h 50min","7.5km","mittel","120m","120m","","Winter","Dezember - März"
"1766396614-99","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1175/Wunderbare-Wintersperre-im-Urserental","Wunderbare Wintersperre im Urserental","Realp
                                                                                                    • UR","","4h 35min","14.3km","hoch","580m","580m","","Winter","Dezember - März"
"1766396616-100","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1174/Auf-der-Hochebene-am-Col-des-Etroits","Auf der Hochebene am Col des Etroits","Col des Etroits
                                                                                                    • VD","","3h 15min","8.4km","hoch","275m","275m","","Winter","Dezember - Februar"
"1766396619-101","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1173/Panoramatour-uber-dem-Val-d-Anniviers","Panoramatour über dem Val d’Anniviers","Tignousa
                                                                                                    • VS","","4h 0min","10.4km","hoch","370m","370m","","Winter","Dezember - März"
"1766396621-102","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1172/Panoramaweg-am-Adelbodner-Sonnenhang","Panoramaweg am Adelbodner Sonnenhang","Adelboden
                                                                                                    • BE","","2h 45min","8km","mittel","310m","310m","","Winter","Dezember - Februar"
"1766396624-103","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1171/Einsamer-Wintertag-im-Greyerzerland","Einsamer Wintertag im Greyerzerland","Allières
                                                                                                    • FR","","3h 5min","6.7km","mittel","280m","280m","","Winter","Dezember - Februar"
"1766396626-104","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1188/Windiger-Mont-Crosin","Windiger Mont Crosin","Mont-Soleil
                                                                                                    • BE","","5h 0min","12km","hoch","270m","270m","","Winter","Dezember - März"
"1766396628-105","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1187/Im-Reich-der-Schneehuhner","Im Reich der Schneehühner","St-Martin VS
                                                                                                    • VS","","6h 25min","8.8km","hoch","795m","795m","","Winter","Dezember - März"
"1766396631-106","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1186/Verschneite-Alp-in-Engelberg","Verschneite Alp in Engelberg","Engelberg
                                                                    — Gerschni
                                                                                                    • OW","","2h 30min","6.3km","mittel","370m","100m","","Winter","Dezember - März"
"1766396633-107","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1185/Verschneite-Suone-in-Grachen","Verschneite Suone in Grächen","Grächen, Post
                                                                                                    • VS","","2h 25min","5.7km","tief","120m","120m","für Familien","Winter","Dezember - März"
"1766396635-108","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1184/Von-Arosa-zur-Lenzerheide","Von Arosa zur Lenzerheide","Arosa, Prätschli
                                                                    — Lenzerheide, Rothornbahn
                                                                                                    • GR","","7h 5min","17.7km","hoch","765m","1185m","","Winter","Dezember - März"
"1766396638-109","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1183/Ein-Tee-mit-Aussicht","Ein Tee mit Aussicht","Arosa, Prätschli
                                                                                                    • GR","","2h 25min","6.5km","mittel","220m","220m","für Familien","Winter","Dezember - März"
"1766396640-110","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1182/Auf-und-Ab-in-Tschiertschen","Auf und Ab in Tschiertschen","Tschiertschen, Waldstafel
                                                                    — Parpan
                                                                                                    • GR","","3h 45min","9.9km","hoch","315m","635m","","Winter","Dezember - März"
"1766396642-111","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1180/Hohenweg-in-Braunwald","Höhenweg in Braunwald","Braunwald
                                                                                                    • GL","","2h 35min","7.5km","mittel","190m","190m","für Familien","Winter","Dezember - März"
"1766396645-112","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1179/Hoch-uber-Airolo","Hoch über Airolo","Pesciüm
                                                                                                    • TI","","1h 35min","4.7km","tief","140m","140m","","Winter","Februar - März"
"1766396648-113","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1178/Ruhige-Sonnenseite-uber-Wildhaus","Ruhige Sonnenseite über Wildhaus","Wildhaus
                                                                                                    • SG","","3h 20min","8km","mittel","360m","360m","für Familien","Winter","Dezember - Februar"
"1766396651-114","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1191/Grenzwandern-in-Schaffhausen","Grenzwandern in Schaffhausen","Hallau, Gemeindehaus
                                                                    — Trasadingen
                                                                                                    • SH","","3h 25min","13.1km","mittel","340m","365m","für Familien","ganzjährig","Januar - Dezember"
"1766396656-115","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/121/Entlang-der-Gastlosen-zum-Soldatenhaus","Entlang der Gastlosen zum Soldatenhaus","Mauzes Bergle
                                                                    — Jaun
                                                                                                    • FR","","4h 45min","9.9km","hoch","320m","875m","","Winter","Dezember - März"
"1766396658-116","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/120/Unter-den-Freiburger-Dents-Vertes","Unter den Freiburger Dents Vertes","Pré de l'Essert, Pt. 1024
                                                                                                    • AR","","2h 55min","6.9km","mittel","355m","355m","für Familien","Winter","Dezember - März"
"1766396660-117","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/110/Winterzauber-im-Saanenland","Winterzauber im Saanenland","Lauenen
                                                                                                    • BE","","2h 5min","9.9km","mittel","250m","250m","für Familien","Winter","Dezember - März"
"1766396662-118","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/128/Winterfreuden-im-Turbachtal","Winterfreuden im Turbachtal","Turbach, Rotengraben
                                                                    — Gstaad
                                                                                                    • BE","","2h 55min","9km","mittel","85m","415m","","Winter","Dezember - März"
"1766396665-119","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/125/Im-Herzen-des-Thurgaus","Im Herzen des Thurgaus","Weinfelden
                                                                    — Sulgen
                                                                                                    • TG","T1","3h 50min","15.6km","mittel","160m","140m","für Familien","ganzjährig",""
"1766396667-120","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/123/Durch-verschneite-Jurahohen","Durch verschneite Jurahöhen","Col des Etroits
                                                                                                    • VD","","2h 55min","8.1km","mittel","245m","245m","","Winter","Dezember - März"
"1766396669-121","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/122/Bergbeizlitour-rund-um-Urnasch","Bergbeizlitour rund um Urnäsch","Urnäsch
                                                                                                    • AR","","4h 15min","10.7km","hoch","585m","585m","","Winter","Dezember - März"
"1766396672-122","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/138/Immer-der-Sonne-entgegen","Immer der Sonne entgegen","Höhi Wispile
                                                                    — Gsteig b. Gstaad
                                                                                                    • BE","","3h 0min","8.6km","hoch","110m","835m","für Familien","Winter","Dezember - März"
"1766396674-123","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/137/Runden-drehen-im-Lenker-Schnee","Runden drehen im Lenker Schnee","Betelberg
                                                                                                    • BE","","1h 45min","4.8km","mittel","220m","225m","","Winter","Dezember - März"
"1766396676-124","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1192/Auf-den-Fahnerenspitz","Auf den Fähnerenspitz","Brülisau
                                                                                                    • AI","","5h 10min","8.5km","hoch","625m","625m","","Winter","Dezember - März"
"1766396679-125","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1199/Thurgauer-Rebenweg","Thurgauer Rebenweg","Oberneunforn
                                                                    — Frauenfeld
                                                                                                    • TG","","3h 35min","14.2km","mittel","240m","310m","für Familien","ganzjährig","April - Oktober"
"1766396681-126","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1206/Durch-das-Hochmoor-zum-Kloster-Einsiedeln","Durch das Hochmoor zum Kloster Einsiedeln","Rothenthurm
                                                                    — Einsiedeln
                                                                                                    • SZ","","2h 30min","9.5km","tief","200m","245m","für Familien","ganzjährig","Mai - Oktober"
"1766396683-127","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1216/Panoramaweg-durch-Murren","Panoramaweg durch Mürren","Gimmelwald
                                                                    — Grütschalp
                                                                                                    • BE","","2h 55min","8km","mittel","290m","160m","für Familien","Winter","Dezember - März"
"1766396686-128","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1215/Winterfruhling-uber-Davos","Winterfrühling über Davos","Ischalp
                                                                    — Davos Platz
                                                                                                    • GR","","3h 10min","9.1km","mittel","140m","520m","","Winter","Dezember - März"
"1766396688-129","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1214/Zwischen-Bettmeralp-und-Fiescheralp","Zwischen Bettmeralp und Fiescheralp","Bettmeralp
                                                                    — Fiescheralp
                                                                                                    • VS","","2h 55min","5.9km","mittel","355m","70m","","Winter","Dezember - März"
"1766396690-130","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1213/Zum-Denkmal-auf-der-Belalp","Zum Denkmal auf der Belalp","Belalp
                                                                    — Bergstation Hohbiel
                                                                                                    • VS","","2h 45min","3.8km","hoch","595m","15m","","Winter","Dezember - März"
"1766396693-131","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1208/Wo-einst-der-heilige-Martin-wanderte","Wo einst der heilige Martin wanderte","Empächli
                                                                                                    • GL","","3h 0min","5.2km","mittel","290m","290m","","Winter","Dezember - März"
"1766396695-132","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1223/Von-Ittingen-nach-Stammheim","Von Ittingen nach Stammheim","Kartause Ittingen
                                                                    — Stammheim Bahnhof
                                                                                                    • TG","","3h 55min","15.7km","mittel","255m","235m","für Familien","ganzjährig","März - Oktober"
"1766396697-133","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1220/Von-Chavannes-de-Bogis-nach-Versoix","Von Chavannes-de-Bogis nach Versoix","Chavanne-de-Bogis
                                                                    — Versoix
                                                                                                    • VD","","3h 25min","15.1km","mittel","150m","235m","für Familien","ganzjährig","März - Juni"
"1766396699-134","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1218/Sonnenbaden-im-Angesicht-der-Churfirsten","Sonnenbaden im Angesicht der Churfirsten","Flumserberg, Mittenwald
                                                                    — Bergstation Prodalp
                                                                                                    • SG","","1h 10min","3.3km","mittel","320m","30m","","Winter","Dezember - März"
"1766396702-135","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1217/Von-Wil-AG-uber-den-Laubberg-nach-Remigen","Von Wil AG über den Laubberg nach Remigen","Wil AG
                                                                    — Remigen
                                                                                                    • AG","","3h 30min","12.3km","mittel","455m","440m","für Familien","ganzjährig","März - Oktober"
"1766396704-136","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1235/Auf-direktem-Weg-zum-Spital","Auf direktem Weg zum Spital","Unteriberg, Guggelstrasse
                                                                    — Gross, Ebenau
                                                                                                    • SZ","","5h 30min","9.9km","hoch","665m","705m","","Winter","Dezember - März"
"1766396707-137","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1226/Chuematten-Trail-am-Niederhorn","Chüematten-Trail am Niederhorn","Beatenberg Vorsass
                                                                    — Waldegg
                                                                                                    • BE","","4h 55min","10.6km","hoch","440m","780m","","Winter","Dezember - März"
"1766396710-138","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1237/Von-St-Blaise-nach-Le-Landeron","Von St-Blaise nach Le Landeron","St-Blaise
                                                                    — Le Landeron
                                                                                                    • NE","","2h 50min","10.3km","mittel","365m","395m","für Familien","ganzjährig","Januar - Dezember"
"1766396717-139","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1253/Skandinavien-im-Simmental","Skandinavien im Simmental","Lenk, Metschbahnen
                                                                                                    • BE","","2h 40min","7km","tief","55m","55m","für Familien","Winter","Dezember - März"
"1766396720-140","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1274/Uber-den-Frienisberger-Chutzen-nach-Aarberg","Über den Frienisberger Chutzen nach Aarberg","Frieswil
                                                                    — Aarberg
                                                                                                    • BE","T1","3h 0min","11.8km","mittel","205m","430m","für Familien","ganzjährig","März - Oktober"
"1766396723-141","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1272/Der-Kleinen-Emme-entlang-durchs-Entlebuch","Der Kleinen Emme entlang durchs Entlebuch","Wolhusen, Neuemsern-Rossei
                                                                    — Hasle LU
                                                                                                    • LU","T1","2h 40min","9.9km","mittel","295m","185m","für Familien","ganzjährig","März - Oktober"
"1766396725-142","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1291/Von-Zermatt-in-den-Alpweiler-Zmutt","Von Zermatt in den Alpweiler Zmutt","Zermatt
                                                                                                    • VS","","4h 0min","10.6km","hoch","440m","440m","","Winter","Dezember - März"
"1766396727-143","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1290/Rundweg-von-Brulisau-zum-Plattenbodeli","Rundweg von Brülisau zum Plattenbödeli","Brülisau
                                                                                                    • AI","","3h 35min","8.7km","hoch","475m","475m","","Winter","Dezember - Februar"
"1766396730-144","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1289/Schneeschuhtour-am-Col-des-Mosses","Schneeschuhtour am Col des Mosses","Col des Mosses
                                                                    — La Lécherette
                                                                                                    • VD","","4h 5min","8.6km","hoch","455m","520m","","Winter","Dezember - Februar"
"1766396732-145","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1288/Von-Mendrisio-durch-die-Gole-della-Breggia","Von Mendrisio durch die Gole della Breggia","Mendrisio
                                                                    — Vacallo, piazza
                                                                                                    • TI","T1","3h 45min","10.9km","mittel","575m","545m","","ganzjährig","Januar - Dezember"
"1766396734-146","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1287/Von-Oberberg-an-die-Ibergeregg","Von Oberberg an die Ibergeregg","Oberberg St. Karl
                                                                                                    • SZ","","3h 10min","10.8km","hoch","520m","520m","","Winter","Dezember - Februar"
"1766396737-147","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1286/Von-La-Brevine-zum-Lac-des-Tailleres","Von La Brévine zum Lac des Taillères","La Brévine
                                                                                                    • NE","","1h 10min","4.5km","tief","30m","30m","für Familien","Winter","Dezember - Februar"
"1766396739-148","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1285/Rund-um-den-Piz-Mundaun","Rund um den Piz Mundaun","Obersaxen, Affeier Dorf
                                                                    — Vella
                                                                                                    • GR","","4h 35min","12.9km","hoch","400m","450m","","Winter","Dezember - Februar"
"1766396742-149","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1284/Auf-Schneeschuhen-zum-Leiterhorn","Auf Schneeschuhen zum Leiterhorn","Wengen
                                                                                                    • BE","","2h 35min","5.8km","mittel","305m","305m","","Winter","Dezember - Februar"
"1766396744-150","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1283/Auf-dem-Aare-Uferweg-nach-Bern","Auf dem Aare-Uferweg nach Bern","Münsingen
                                                                    — Bern, Tierpark
                                                                                                    • BE","T1","3h 15min","13.6km","mittel","60m","65m","für Familien","ganzjährig","Januar - Dezember"
"1766396746-151","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1282/Durch-das-Surbtal","Durch das Surbtal","Tegerfelden, Hochbrücke
                                                                    — Lengnau AG
                                                                                                    • AG","T1","2h 55min","11.2km","mittel","265m","220m","","ganzjährig","Januar - Dezember"
"1766396749-152","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1297/Magisches-Val-Roseg-GR","Magisches Val Roseg GR","Pontresina
                                                                    — Roseg
                                                                                                    • GR","","2h 20min","6.9km","mittel","240m","10m","für Familien","Winter","November - Februar"
"1766396751-153","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1412/Winterwanderung-zur-Britanniahutte","Winterwanderung zur Britanniahütte","Felskinn
                                                                                                    • VS","","2h 10min","5.1km","mittel","315m","315m","","Winter","März - Mai"
"1766396753-154","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1411/Auf-der-Gossigenhochi-im-Toggenburg","Auf der Gössigenhöchi im Toggenburg","Hemberg
                                                                    — Ennetbühl
                                                                                                    • SG","","5h 40min","9.9km","hoch","685m","750m","","Winter","Dezember - März"
"1766396756-155","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1410/Uber-den-Heuberg-ins-Fricktal","Über den Heuberg ins Fricktal","Laufenburg
                                                                    — Oeschgen
                                                                                                    • AG","T1","3h 10min","10.7km","mittel","450m","430m","","ganzjährig","Januar - Dezember"
"1766396758-156","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1409/Sich-verlieren-in-den-Freibergen","Sich verlieren in den Freibergen","Le Noirmont
                                                                    — Les Bois
                                                                                                    • JU","","3h 50min","10km","hoch","205m","145m","","Winter","Dezember - März"
